PERSONAJE,GLOSA
Juan Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de ""Ciudad de la Trinidad"", en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de "" Real de Nuestra Señora Santa María del Buen Ayre""."
Matienzo,"Refiere a Juan de Matienzo, (Valladolid, 1520 – Sucre, 1579). Jurisconsulto, oidor de Audiencia, presidente de Audiencia, cronista. "
Torres de Vera,"Refiere a Juan Torres de Vera y Aragón (Sevilla, 1527 - Villa de La Plata de Charcas, 1613), conquistador y colonizador español. Tuvo un titulo de Licenciado en Leyes, en 1565 fue nombrado por Felipe II oidor de la Real Audiencia a fundar en el Reino de Chile. En 1573 fue nombrado oidor en la Real Audiencia de Charcas. Al casarse con la hija ñusta de Juan Ortiz de Zárate, Juana Ortiz de Zárate y Yupanqui, se convirtió en, respectivamente, el 4.º Adelantado y 17° Gobernador del Río de la Plata y del Paraguay."
Céspedes,Refiere al cápitan Francisco de Céspedes. 
Loyola,"Martín García Óñez de Loyola (* Azpeitia, 1549 - † Curalaba, 24 de diciembre de 1598), fue un conquistador y funcionario colonial español, que participó en importantes acciones militares y ejerció altos cargos políticos en el Virreinato del Perú, entre ellos el de Gobernador del Reino de Chile. Óñez de Loyola partió muy joven al Perú, en 1568, al lado del nuevo virrey Francisco Álvarez de Toledo en calidad de capitán de su guardia."
D. Diego,Refiere aDiego Ortiz de Zárate y Mendieta o bien Diego de Zárate Mendieta y nacido como Diego de Mendieta y Zárate o simplemente como Diego de Mendieta
Francisco de Sierra,"Refiere a Francisco de Sierra, había llegado al Paraguay en la expedición de Martín de Orué en 1556. Participó en la fundación de Santa Fe, como maestre de campo y testigo del acta de erección, y posteriormente por delegación de Garay se desempeño como teniente de gobernador de Santa Fe."
Sierra,"Refiere a Francisco de Sierra, había llegado al Paraguay en la expedición de Martín de Orué en 1556. Participó en la fundación de Santa Fe, como maestre de campo y testigo del acta de erección, y posteriormente por delegación de Garay se desempeño como teniente de gobernador de Santa Fe."
Galiano de Meira,
Ochoa,
Espinosa,"Juan de Salazar de Esponosa (Espinosa de los Monteros, 1508 - Asunción, 1560) Conquistador español. En 1535 partió desde Cádiz hacia la región del Río de la Plata como miembro de la expedición de Pedro de Mendoza. Llegado a su destino en enero de 1536, fue enviado por Mendoza en busca de Juan de Ayolas, que había sido enviado previamente a explorar las inmediaciones de los ríos Paraná y Paraguay. En su camino se topó con Domingo Martínez de Irala, que formaba parte de la misma expedición. El 15 de agosto de 1537, Salazar fundó un fuerte al que bautizó con el nombre de Nuestra Señora de la Asunción, y que a la larga se convertiría en la ciudad de Asunción, capital de Paraguay. En 1544, durante la sublevación contra el adelantado Álvar Núñez Cabeza de Vaca, fue expulsado y enviado de regreso a España, pero tres años más tarde se le permitió regresar a la zona en calidad de tesorero de los territorios rioplatenses. En los años siguientes (1550-1555) desarrolló una gran labor colonizadora en todo el territorio del actual Paraguay, y falleció cinco años más tarde en la ciudad por él fundada."
Quirós,
Nuara,
Guaraníes,"Refiere a los guaraníes o avá, según su autodenominación étnica original (que significa ser humano). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El muy difundido nombre guaraní lo escucharon los españoles que, al invadir su territorio, habrían oído, entre los gritos de guerra de este pueblo, la frase guará-ny, que significa combatir-los. Otra versión afirma que la denominación fue tomada de la deformación de una palabra guaraní que significa precisamente guerra o guerrear. Al parecer los mismos indígenas se denominaron de esa manera, indicando con ello que se consideraban guerreros."
Luis de Chaves,
Hernando Pizarro,"Hernando Pizarro o bien Hernando Pizarro y Vargas fue un descubridor y conquistador español. Era uno de los hermanos de Francisco Pizarro con quien pasó al Perú y tomó parte de las primeras acciones de la conquista del Imperio incaico. También fue primo segundo de Hernán Cortés, conquistador del Imperio Azteca."
Gasca,"Pedro de la Gasca o bien Pedro Lagasca (Navarregadilla de Ávila, 1493 – Sigüenza de Guadalajara, 1567). Sacerdote, funcionario, diplomático y militar español del siglo XVI que fue nombrado caballero de la Orden de Santiago y consejero del Tribunal del Santo Oficio. Fue designado en 1546 como presidente de la Real Audiencia de Lima con la misión de acabar con la rebelión de Gonzalo Pizarro en el Virreinato del Perú, cumpliendo cabalmente su cometido, y ha pasado a la historia con el apelativo de Pacificador. Hizo luego un ordenamiento general del territorio y culminó su brillante carrera como obispo de Palencia desde 1550 y luego de Sigüenza desde 1561 hasta su fallecimiento."
Pizarro,"Hernando Pizarro o bien Hernando Pizarro y Vargas fue un descubridor y conquistador español. Era uno de los hermanos de Francisco Pizarro con quien pasó al Perú y tomó parte de las primeras acciones de la conquista del Imperio incaico. También fue primo segundo de Hernán Cortés, conquistador del Imperio Azteca."
Chaves,
Obera,"Cacique guaraní que fue educado por un sacerdote, y se sublevó contra Garay, haciéndose llamar el Mesías."
Yaguatatì,Cacique
Martin Gonzalez,Clérigo que enseña las escrituras a el indio Oberá. 
David,"Refiere a David, personaje bíblico, su vida y obra son relatadas en los libros de Samuel y las Crónicas, mientras su ancianidad y su muerte al comienzo de I Reyes. Con su honda, David derrotó a Goliath. "
Goliath,"Refiere a Goliath, personaje bíblico de los libros de Samuel y Crónicas. Según la Biblia, fue un guerrero gigante filisteo derrotado por el joven David en combate individual. La frase ""David contra Goliat"" representa una situación en desequilibrio. "
Guaranì,"Guaraníes o avá, grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina (en ciertas zonas de provincias de la Región del Litoral),​ sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay."
Guiraró,"Refiere a Guiraro, hijo de Oberá, cacique que creía ser enviado divino."
Inciso,"Refiere a Juan Fernández de Enciso. Procurador, nació en Asunción o en Charcas."
Espeluca,"Refiere a Pedro Sayas (o Zayas) Espeluca, que vino a América con Álvar Núñez Cabeza de Vaca."
Pitum,"Indígena guaraní, cercano al caciqueTapuyguasú"
Corací,"Indígena guaraní, cercano al cacique Tapuyguasú."
Tapuy Guazu,"Refiere al cacique guaraní, Tapuyguasú."
Urambia,
Curemo,Indígena guaraní
Tapuy Guazú,"Refiere al cacique guaraní, Tapuyguasú."
Berú,Indígena guaraní.
Tapuí Miries,"Refiere al pueblo indígena denominado ""chiquitano"", de la actual Bolivia. En el siglo XVI vivían al oeste de los xarayes, más allá de los etones, pamonos y jaramecocíes con quienes los asunceños y guaraníes de la expedición de Ñuflo de Chaves mantuvieron violentas escaramuzas. También se ubicaban junto a los chiriguanaes de Pitaguari, al norte de Santa Cruz la Vieja; fueron repartidos entre los españoles de Santiago del Puerto a partir de 1592 y luego entre los vecinos de San Lorenzo. Los guaraníhablantes los llamaban ""tapiomiri que quiere decir esclavos de casas chicas, y los españoles abreviando los llaman chiquitos"". En consonancia con las categorías que utilizaban para nombrar, clasificar a e interactuar con grupos no guaraníes: tapii, tapiete, tapuy mirí. Ñuflo de Chaves y sus hombres entre 1557 y 1559 atravesaron la tierra de los tapuymire, gente muy guerrera, que usaba flechas envenenadas, que tenía un pueblo sobre un río y más adelante un cercado custodiado por muchos hombres preparados para la guerra."
Tapui Guazù,"Cacique guaraní, Tapuyguasú."
Tapui Guazú,"Cacique guaraní, Tapuyguasú."
Urambía,Indio famoso
Urambìa,
Urambieta,Padrino de Urambia en el desafio con Curemo.
Xiantombia,Padrino de Curemo al desafio con Urambia
Guayracá,"Indígena, capitán de las tropas de Oberá."
Yaguatatí,"Cacique, nombrado por oberá coomo ""alferez"" general."
Tanimbano,"Refiere a Tanimbaño, cacique guaraní. "
Cayapey,"Refiere a Curapey, cacique guaraní. "
Ibiriyù,"Refiere a Ibiriyú, cacique guaraní. "
Yacaré,Cacique guaraní.
Tapucagn,"Refiere a Tapucané, cacique guaraní."
guayracana,Refiere a guaraníes que dependían del cacique Guayracá. 
Guayraca,"Indígena, capitán de las tropas de Oberá."
Valderrama,"Martín de Ledesma Valderrama (Alcalá de Guadaíra, España, ca. 1575 - Santiago del Estero, 1650) era un militar, explorador y colonizador español que fue nombrado como teniente de gobernador de Jujuy en 1621 hasta 1632, siendo lo más destacado de su gestión la fundación de dos efímeras poblaciones: la ciudad de Santiago de Guadalcázar y el «Fuerte Ledesma». En 1633 fue nombrado gobernador del Paraguay, cargo que ostentaría hasta el año 1636."
Osuna,"Juan de Osuna.Dá muerto á Yagualy, en la batalla de Guayraca"
Luis Martin,
Mayrayú,
Castillo,
Cuyapei,"Refiere a Curapey, cacique guaraní."
Valenzuela,Refiere a Alonso de Valenzuela. 
Bañuelos,Refiere a Pedro Bañuelos o Vañuelos.
Espinosa,Refiere a Antonio de Espinosa. 
Bartolomé Barco de Amarilla,"Refiere al encomendero de Asuncion, Bartolomé Barco de Amarilla."
Garay,"Juan de Garay (1528 - 1583) fue explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Cristoval de Arevalo,"Cristobal de Arévalo fue alcalde de Santa Fé y participe como traidor contra los criollos de la revolución de los Siete Jefes, una vez que se tomó el cabildo fue puesto como Teniente Gobernador."
guaraní,"Refiere al grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina (en ciertas zonas de provincias de la Región del Litoral),​ sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay."
Tabobà,Cacique de las islas del Rio de la Plata.
Tabobá,Cacique de las islas del Rio de la Plata.
Valero,"Capitán Bartolomé Valero, teniente de gobernador y justicia mayor de San Felipe de Lerma Valle de Salta. Como capitán de los ejércitos del Virrey Toledo intentó capturar a Garay tras su huida de Chuquisaca."
Venialvo,"Lázaro de Venialvo (o Benialbo) fue un conquistador nacido en Asunción del Paraguay, a mediados del siglo XVI, que destacó en la lucha contra los aborígenes charrúas y mató a su cacique, Zalpicán, que tenía fama por su bravura. Fue uno de los acompañantes de Juan de Garay en su expedición desde Asunción al sur, y así fue uno de los fundantes de la Ciudad de Santa Fe, el 15 de noviembre de 1573. En 1580 encabezó la revolución de los mancebos o de los siete jefe, en la que los nacidos en la tierra americana ordenaron a los peninsulares retirarse, pues la ciudad, alegaban, había sido fundada por ellos. Lázaro fue uno de los que más animó a los criollos, disconformes con el gobierno de la ciudad, y las reuniones se hicieron en su casa.Si bien dicha revolución fue un éxito, inmediatamente hubo una contrarrevolución, y Lázaro fue asesinado en su propia casa, y su cadáver despedazado."
Gallego,"Pedro Gallego participé de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Ruiz,"Refiere a Diego Ruiz, participe de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Romero,"Refiere a Domingo Romero, participe de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Leiva,"Diego de Leiva, participé de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Villalta,"Pedro Villalta, participé de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Mosquera,"Rodrigo de Mosquera, participé de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Olivera,Refiere al alcalde Pedro de Oliver.
Vera,"Refiere a Alonso de Vera y Aragón y Calderón (Sevilla, 1553 - ). Sobrino del adelantado Juan Torres de Vera y Aragón. Fue fundador de la ciudad de Concepción de Buena Esperanza en 1585, en la región del Chaco Austral, y nombraría como alcalde a Hernandarias de Saavedra, convirtiéndose él mismo en el citado año en el primer teniente de gobernador de Concepción del Bermejo. "
Arevalo,"Cristobal de Arévalo fue alcalde de Santa Fé y participe como traidor contra los criollos de la revolución de los Siete Jefes, una vez que se tomó el cabildo fue puesto como Teniente Gobernador."
Santa Cruz,"Juan de Santa Cruz, regidor de Santa Fé. Fue partidario de Garay en la revuelta de Santa Fe de 1580."
Ramirez,"Diego Ramirez, nombrado fiador de Santa Fe. General español partidario de Garay en la revuelta de Santa Fe de 1580."
Aguilera,"Sebastián de Aguilera, fiador del alcalde de Santa Fe. Fue partidario de Garay en la revuelta de Santa Fe de 1580."
Juan Martin,Juan Martín regidor de Santa Fe. Fue partidario de Garay en la revuelta de 1580.
Venialbo,"Lázaro de Venialvo (o Benialbo) fue un conquistador nacido en Asunción del Paraguay, a mediados del siglo XVI, que destacó en la lucha contra los aborígenes charrúas y mató a su cacique, Zalpicán, que tenía fama por su bravura.Fue uno de los acompañantes de Juan de Garay en su expedición desde Asunción al sur, y así fue uno de los fundantes de la Ciudad de Santa Fe, el 15 de noviembre de 1573. En 1580 encabezó la revolución de los mancebos o de los siete jefe, en la que los nacidos en la tierra americana ordenaron a los peninsulares retirarse, pues la ciudad, alegaban, había sido fundada por ellos. Lázaro fue uno de los que más animó a los criollos, disconformes con el gobierno de la ciudad, y las reuniones se hicieron en su casa. Si bien dicha revolución fue un éxito, inmediatamente hubo una contrarrevolución, y Lázaro fue asesinado en su propia casa, y su cadáver despedazado."
Diego Ruiz,"Diego Ruiz, participé de la revolución de los Siete Jefes, también conocida como la revolución de los Mancebos,​ revolución criolla ocurrida entre los días 31 de mayo y 1 de junio de 1580 en el entonces pueblo de Santa Fe de la Vera Cruz, en la Gobernación del Río de la Plata y del Paraguay."
Rubira,"Diego de Rubira, teniente gobernador de Córdoba."
Lerma,"Hernando de Lerma Polanco fue un explorador y colonizador español de mediados del siglo XVI. Fue gobernador del Tucumán entre 1580 y 1584. Se destacó por haber fundado la ciudad de Salta, capital de la actual provincia de Salta, en el noroeste de la Argentina."
Antonio Mirabal,Antonio de Miraval. Hermano del licenciado Lerma
Mirabal,Antonio de Miraval. Hermano del licenciado Lerma
Hernán Mésia,"Refiere a Hernán Mejía de Mirabal (Sevilla, 1531 - España, 1596). Activo conquistador castellano en el Tucumán, durante la segunda mitad del siglo XVI. Durante cuarenta años prestó servicios continuos a la causa del rey en esa región sudamericana y contribuyó a fundar muchas ciudades. Ocupó casi todos los cargos administrativos, inclusive teniente de gobernador, regidor y capitán general."
Sotelo,"Refiere a Pedro Sotelo Narváez. Estuvo con Abreu, Juan de Garay y Zárate en la fundación, y fue alcalde, de San Clemente de la Nueva Sevilla, destruída tres veces. Fue teniente de gobernador de Abreu."
Hernan Mesía,"Refiere a Hernán Mejía de Mirabal (Sevilla, 1531 - España, 1596). Activo conquistador castellano en el Tucumán, durante la segunda mitad del siglo XVI. Durante cuarenta años prestó servicios continuos a la causa del rey en esa región sudamericana y contribuyó a fundar muchas ciudades. Ocupó casi todos los cargos administrativos, inclusive teniente de gobernador, regidor y capitán general."
Dean,Cargo eclesiástico. Dean Don Francisco Salcedo
Bachiller García,
capitan Francisco,"Francis Drake (Tavistock, Inglaterra, 1540 - Portobelo, Panamá, 28 de enero de 1596), conocido en España como Francisco Draque, fue un corsario, explorador, comerciante de esclavos, político y vicealmirante inglés. Dirigió numerosas expediciones de la Marina Real inglesa en la propia España y en las Indias, fue la segunda persona en circunnavegar el mundo en una sola expedición, tras Elcano, y participó en el ataque a Cádiz de 1587, la derrota de la Armada Invencible y el fallido ataque a La Coruña de 1589, entre otras. Fue y sigue siendo una figura controvertida. En una época en la que Inglaterra y España estaban enfrentadas militarmente, fue considerado como un pirata por las autoridades españolas, mientras en Inglaterra se lo valoró como corsario, se le honró como héroe y fue nombrado caballero por la reina Isabel I."
Francisco Drake,"Francis Drake (Tavistock, Inglaterra, 1540 - Portobelo, Panamá, 28 de enero de 1596), conocido en España como Francisco Draque, fue un corsario, explorador, comerciante de esclavos, político y vicealmirante inglés. Dirigió numerosas expediciones de la Marina Real inglesa en la propia España y en las Indias, fue la segunda persona en circunnavegar el mundo en una sola expedición, tras Elcano, y participó en el ataque a Cádiz de 1587, la derrota de la Armada Invencible y el fallido ataque a La Coruña de 1589, entre otras. Fue y sigue siendo una figura controvertida. En una época en la que Inglaterra y España estaban enfrentadas militarmente, fue considerado como un pirata por las autoridades españolas, mientras en Inglaterra se lo valoró como corsario, se le honró como héroe y fue nombrado caballero por la reina Isabel I."
Gil Gonzalez,
Francisco,Refiere a Francisco Drake
Luterano,Refiere a Francis Drake. 
el Ingles,Refiere a Francis Drake
Francisco Manrique,"Refiere a Francisco Manrique de Lara, de Villapalacios (Albacete), caballerizo de Felipe II, caballero de la Orden de Santiago y, desde 1569, factor y veedor de la Real Hacienda de Lima. "
María Cepeda,"Refiere a María de Cepeda, natural de Lima, madre de Jorge Manrique de Lara."
Mencia, 
Manrique,"Refiere a Francisco Manrique de Lara, de Villapalacios (Albacete), caballerizo de Felipe II, caballero de la Orden de Santiago y, desde 1569, factor y veedor de la Real Hacienda de Lima."
factor,Refiere Refiere a Francisco Manrique de Lara. 
Virrey,Refiere al virrey Francisco de Toledo. 
Toled,
Francisca,Refiere a Francisco Drake
Mirabal,Refiere a Antonio de Miraval. Hermano del licenciado Lerma.
Francisco de Salcedo,Refiere al Dean Francisco de Salcedo
bachiller García,
Benavente,
Felipe,
Hernan Mesia,"Refiere a Hernán Mejía de Mirabal (Sevilla, 1531 - España, 1596). Activo conquistador castellano en el Tucumán, durante la segunda mitad del siglo XVI. Durante cuarenta años prestó servicios continuos a la causa del rey en esa región sudamericana y contribuyó a fundar muchas ciudades. Ocupó casi todos los cargos administrativos, inclusive teniente de gobernador, regidor y capitán general."
Catalina,Mujer de Gil Gonzalez
Juan Rodriguez,Asesino de Gil González
Gonzalez,Gil González
Reina Isabela,Reina consorte Isabel de Portugal
Alfonso Mogrovejo,"Toribio Alfonso de Mogrovejo y Robledo (Mayorga, Corona de Castilla, 16 de noviembre de 1538a​ - Zaña, Virreinato del Perú, 23 de marzo de 1606) fue un eclesiástico español, santo de la Iglesia católica, segundo arzobispo de Lima, misionero y organizador de la Iglesia católica en el virreinato del Perú."
Lartaun,"Sebastián de Lartaun (Oyarzun, 15?? - Lima, 1583), eclesiástico español, llegó a ser Obispo del Cuzco. Doctor en Teología por la Universidad de Alcalá de Henares. En el ejercicio de su ministerio, fue beneficiado con una canonjía, en la iglesia de Calahorra. Preconizado para ocupar la diócesis vacante del Cuzco (4 de setiembre de 1570), pasó al Perú en la flota de 1572. Tomó posesión de su sede el 23 de junio de 1573, pero pronto entró en conflicto con su cabildo debido a las exigentes reclamaciones sobre la parte que le correspondía en la percepción de los diezmos. Se opuso asimismo, a la erección de la diócesis de Arequipa, que debía desprenderse de la del Cuzco en atención a lo solicitado por su antecesor en la sede, fray Juan Solano. Durante el III Concilio Limense (1582) se enfrentó a las recriminaciones del arzobispo Toribio de Mogrovejo; pero lejos de aceptarlas y moderar sus exigencias de rentas y pensiones, llegó incluso a promover alborotos mediante gente armada."
Peña,"Pedro de la Peña, obispo de Quito"
San Miguel,"Antonio de San Miguel, obispo de la Imperial de Chile"
Victoria,"fray Francisco de Vitoria, obispo de la diócesis del Tucumán."
Alonso Granero,"Alonso Ávalos de Granero. Clérigo, natural de Villaescusa (Zamora), hijo de Alonso Granero «el viejo» e Isabel de Ávalos, por parte de padre de la familia de los Granero, uno de los apellidos más antiguos de Alarcón. Descendiente de la Casa de Toledo. Preconizado obispo de Charcas el 9 de enero de 1579, por Gregorio XIII, se consagró en la ciudad de México antes de iniciar el viaje. Viajó por Guatemala y Nicaragua y llegó a Lima en 1581; y a su sede platense en 1582. Se incorporó al concilio en marzo de 1583 en el que favoreció al quisquilloso obispo de Cuzco Sebastián de Lartaún. Falleció en La Paz (Bolivia) el 19 de noviembre de 1585."
Lucio,"Marcos de Lucio, abogado del Cabildo de Lima"
Martin,Virrey Martín Enríquez de Almansa
Mogrovejo,Refiere a Toribio Alfonso de Mogrovejo y Robledo.
Granero,Refiere a Alonso Ávalos de Granero
Bernarda Niño,"Doña Bernarda Niño de Guzmán, monja profesa del monasterio de la Encarnación. Este hecho refiere a la medida que impedía la concurrencia de mujeres a festejos populares, a los que acudían con sedas, tramasirgos, brocados de todo tipo, oros y pedrerías. Ante el impedimento las damas limeñas salieron a la calle con lujosas vestimentas a cara descubierta. Bernarda Niño con un saco bordado de oro en compañía de María Cepeda, Mariana, Juliana Puerto Carrero, la mujer del capitán Loyola, Beatriz Clara Coya, sobrina del Inca Túpac Amaru, y un largo etcétera."
Beatriz,Beatriz de Aliaga
Maria Cepeda,"Refiere a María de Cepeda, natural de Lima, madre de Jorge Manrique de Lara."
"Diana,","Este hecho refiere a la medida que impedía la concurrencia de mujeres a festejos populares, a los que acudían con sedas, tramasirgos, brocados de todo tipo, oros y pedrerías. Ante el impedimento las damas limeñas salieron a la calle con lujosas vestimentas a cara descubierta. Bernarda Niño con un saco bordado de oro en compañía de María Cepeda, Mariana, Juliana Puerto Carrero, la mujer del capitán Loyola, Beatriz Clara Coya, sobrina del Inca Túpac Amaru, y un largo etcétera."
Mariana,
Juliana es Puerto Carrero,"Refiere a Juliana Portocarrero. Este hecho refiere a la medida que impedía la concurrencia de mujeres a festejos populares, a los que acudían con sedas, tramasirgos, brocados de todo tipo, oros y pedrerías. Ante el impedimento las damas limeñas salieron a la calle con lujosas vestimentas a cara descubierta. Bernarda Niño con un saco bordado de oro en compañía de María Cepeda, Mariana, Juliana Puerto Carrero, la mujer del capitán Loyola, Beatriz Clara Coya, sobrina del Inca Túpac Amaru, y un largo etcétera."
Beatriz la Coya,"Beatriz Clara Coya era una princesa inca, heredera del señorío de Yucay y esposa de Martín García de Loyola, gobernador de Chile."
Inca,"Refiere a Sayri Túpac (n. ca. 1535 - 1561) fue el segundo inca de Vilcabamba, hijo del primer inca vilcabambino Manco Inca Yupanqui, y de su esposa Cura Ocllo. Después de que los conquistadores españoles almagristas mataron a su padre en 1544, sucedió a su padre como gobernante del estado independiente inca de Vilcabamba. Gobernó hasta 1560."
Loyola,"Martín García Óñez de Loyola, fue un conquistador y funcionario colonial español, que participó en importantes acciones militares y ejerció altos cargos políticos en el Virreinato del Perú, entre ellos el de Gobernador del Reino de Chile."
Luisa,"Luysa de Ayala, mujer de Juan Gutiérrez de Ulloa"
Ulloa,"Juan Antonio Guitérrez de Ulloa, Alguacil Mayor de la Inquisición de Lima."
Sotomayor,"Alonso de Sotomayor. (Trujillo, 1545-1610). Gobernador de Chile. Eliminó la Tasa de Gamboa, que desde 1580 había decretado la abolición del servicio personal de los indígenas, a cambio de un pago de oro a los encomenderos. Sotomayor introdujo algunas reformas a la antigua Tasa de Santillán, tales como la designación de funcionarios para el control del trabajo indígena y la reducción de los castigos. Además destaco por su labor en la guerra de arauco que antes de su llegada había alcanzado niveles críticos."
Diego Flores,"Diego Flórez de Valdés (Asturias, 1530-1595) fue un militar español, sirvió a la armada castellana en tierras brasileñas durante parte del período en que los reinos de Portugal y España estaban bajo el gobierno de la dinastía de Habsburgo, fue responsable de la construcción de varios fortificaciones y apoyo para la conquista de nuevos territorios en Brasil."
Sarmiento,"Pedro Sarmiento de Gamboa (Alcalá de Henares, 1530 y 1532 - océano Atlántico de la costa de Lisboa, 17 de julio de 1592) era un explorador y conquistador español del siglo XVI, que fuera nombrado por el rey Felipe II como gobernador y capitán general de las Tierras del Estrecho de Magallanes a finales de 1580."
Sarmiento,"Refiere a Pedro Sarmiento de Gamboa (Alcalá de Henares, 1530 y 1532 - océano Atlántico de la costa de Lisboa, 17 de julio de 1592) era un explorador y conquistador español del siglo XVI, que fuera nombrado por el rey Felipe II como gobernador y capitán general de las Tierras del Estrecho de Magallanes a finales de 1580."
Diego Flores,"Refiere a Diego Flórez de Valdés (Asturias, 1530-1595) fue un militar español, sirvió a la armada castellana en tierras brasileñas durante parte del período en que los reinos de Portugal y España estaban bajo el gobierno de la dinastía de Habsburgo, fue responsable de la construcción de varios fortificaciones y apoyo para la conquista de nuevos territorios en Brasil."
Alonso de Sotomayor,"Refiere a Alonso de Sotomayor. (Trujillo, 1545-1610). Gobernador de Chile. Eliminó la Tasa de Gamboa, que desde 1580 había decretado la abolición del servicio personal de los indígenas, a cambio de un pago de oro a los encomenderos. Sotomayor introdujo algunas reformas a la antigua Tasa de Santillán, tales como la designación de funcionarios para el control del trabajo indígena y la reducción de los castigos. Además destaco por su labor en la guerra de arauco que antes de su llegada había alcanzado niveles críticos."
capitan,Refiere a Juan de Garay. 
Garay,"Juan de Garay (1528 - 1583) fue explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay, fundador de la ciudad de Santa Fe en 1573 en su primera ubicación. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Mendieta,"Refiere a Diego Ortiz de Zárate y Mendieta o bien Diego de Zárate Mendieta y nacido como Diego de Mendieta y Zárate o simplemente como Diego de Mendieta (La Plata de la Nueva Toledo, Charcas del Virreinato del Perú, ca. 1542 – f. Corona de España, después de 1578) fue un conquistador español y gobernador interino del Río de la Plata y del Paraguay desde 1576 hasta 1577. Por disposición de su tío Juan Ortiz de Zárate, adelantado del Río de la Plata, fue nombrado interinamente como gobernador, capitán general, justicia mayor y alguacil mayor de la Nueva Andalucía rioplatense, el 29 de enero de 1576."
Francisco,Refiere a Francis Drake 
Toledo,Refiere al virrey Toledo 
Pancaldo,"Refiere a León Pancaldo (Panchialdo). (Génova, s. xvi – Buenos Aires, 1540). Marino y comerciante. Era miembro de la nao Trinidad, que tomó parte en la expedición de Hernando Magallanes. Fue de los pocos supervivientes y a su regreso a Europa pensó en establecer una vía de comercio marítimo en la costa pacífica de Perú. En 1537 fletó dos barcos cargados de mercancías con la intención de cruzar el Atlántico, atravesar el estrecho de Magallanes y vender su mercadería por los puertos peruanos. Tiene el mérito de haber realizado el primer intento de navegación mercantil en el extremo sur de América."
Gibaldo,Refiere a Juan Pedro de Bibaldo. 
Grimaldo,Refiere a Scipión de Grimaldo. Las fuentes no concluyen si llegó al Río de la Plata con Pancaldo o con Álvar Núñez Cabeza de Vaca.
Pier Antonio,Refiere Pier Antonio de Aquino.
de Aquino,Refiere Pier Antonio de Aquino.
Magallanes,Refiere a Fernando de Magallanes oHernando de Magallanes.
